149.241.0.0/17,GB,,,
149.241.128.0/17,GB,,,
151.224.0.0/14,GB,,,
151.228.0.0/14,GB,,,
176.24.0.0/15,GB,,,
176.26.0.0/15,GB,,,
176.248.0.0/14,GB,,,
176.252.0.0/15,GB,,,
176.254.0.0/17,GB,,,
176.254.128.0/17,GB,,,
176.255.0.0/16,GB,,,
185.32.40.0/22,IT,,,
188.220.0.0/16,GB,,,
188.221.0.0/16,GB,,,
188.222.0.0/16,GB,,,
188.223.0.0/16,GB,,,
194.50.165.0/24,GB,,,
195.189.158.0/23,GB,,,
2.120.0.0/15,GB,,,
2.122.0.0/16,GB,,,
2.123.0.0/17,GB,,,
2.123.128.0/18,GB,,,
2.123.192.0/18,GB,,,
2.124.0.0/16,GB,,,
2.125.0.0/16,GB,,,
2.126.0.0/16,GB,,,
2.127.0.0/17,GB,,,
2.127.128.0/21,GB,,,
2.127.136.0/21,GB,,,
2.127.144.0/21,GB,,,
2.127.152.0/21,GB,,,
2.127.236.0/24,GB,,,
2.127.237.0/26,GB,,,
2.127.237.64/26,GB,,,
2.127.237.128/26,GB,,,
2.127.237.192/26,GB,,,
2.127.238.0/25,GB,,,
2.127.238.128/25,GB,,,
2.127.239.0/26,GB,,,
2.127.239.72/30,GB,,,
2.127.239.76/30,GB,,,
2.127.239.80/29,GB,,,
2.127.239.88/29,GB,,,
2.127.239.96/28,GB,,,
2.127.239.112/28,GB,,,
2.127.239.128/29,GB,,,
2.127.239.136/29,GB,,,
2.127.239.144/30,GB,,,
2.127.239.148/30,GB,,,
2.127.239.152/29,GB,,,
2.127.239.160/29,GB,,,
2.127.239.168/29,GB,,,
2.127.239.176/29,GB,,,
2.127.239.184/29,GB,,,
2.127.239.192/26,GB,,,
2.127.240.0/25,GB,,,
2.127.240.224/27,GB,,,
2.127.241.0/24,GB,,,
2.127.242.0/23,GB,,,
2.127.244.0/23,GB,,,
2.127.246.0/24,GB,,,
2.127.247.0/24,GB,,,
2.127.248.0/23,GB,,,
2.127.250.0/24,GB,,,
2.127.251.0/29,GB,,,
2.127.251.8/29,GB,,,
2.127.251.16/28,GB,,,
2.127.251.32/28,GB,,,
2.127.251.48/28,GB,,,
2.127.251.64/26,GB,,,
2.127.251.128/26,GB,,,
2.127.251.192/26,GB,,,
2.127.252.0/25,GB,,,
2.127.252.128/25,GB,,,
